time;value
2020-11-24T03:00:25.294000Z;1606186820192
2020-11-24T04:00:01.844000Z;1606186820192
2020-11-24T05:00:00.852000Z;1606186820192
2020-11-24T05:00:53.737000Z;1606194048638
2020-11-24T05:01:58.841000Z;1606194113738
2020-11-24T06:00:02.182000Z;1606194113738
2020-11-24T07:00:00.186000Z;1606194113738
2020-11-24T08:00:00.188000Z;1606194113738
2020-11-24T09:00:00.190000Z;1606194113738
2020-11-24T10:00:00.192000Z;1606194113738
2020-11-24T11:00:00.193000Z;1606194113738
2020-11-24T12:00:00.195000Z;1606194113738
2020-11-24T13:00:00.197000Z;1606194113738
2020-11-24T14:00:04.261000Z;1606194113738
2020-11-24T15:00:00.704000Z;1606194113738
2020-11-24T16:00:01.078000Z;1606194113738
2020-11-24T17:00:00.082000Z;1606194113738
2020-11-24T18:00:00.084000Z;1606194113738
2020-11-24T18:55:24.472000Z;1606244119375
2020-11-24T18:56:29.581000Z;1606244184478
2020-11-24T18:57:34.683000Z;1606244249582
2020-11-24T18:58:39.789000Z;1606244314686
2020-11-24T18:59:44.895000Z;1606244379793
2020-11-24T19:00:00.697000Z;1606244379793
2020-11-24T19:00:49.999000Z;1606244444900
2020-11-24T19:01:55.103000Z;1606244510000
2020-11-24T19:03:00.206000Z;1606244575108
2020-11-24T19:04:05.309000Z;1606244640206
2020-11-24T19:05:10.411000Z;1606244705311
2020-11-24T19:06:15.515000Z;1606244770412
2020-11-24T19:07:20.644000Z;1606244835543
2020-11-24T19:08:25.748000Z;1606244900710
2020-11-24T19:09:30.850000Z;1606244965748
2020-11-24T19:10:35.953000Z;1606245030850
2020-11-24T19:11:41.059000Z;1606245095954
2020-11-24T19:12:46.161000Z;1606245161058
2020-11-24T19:13:51.263000Z;1606245226277
2020-11-24T19:14:56.414000Z;1606245291311
2020-11-24T19:16:01.518000Z;1606245356415
2020-11-24T19:17:06.621000Z;1606245421518
2020-11-24T19:18:11.725000Z;1606245486623
2020-11-24T19:19:16.830000Z;1606245551731
2020-11-24T19:20:21.933000Z;1606245616830
2020-11-24T19:21:27.035000Z;1606245681934
2020-11-24T19:22:32.141000Z;1606245747041
2020-11-24T19:23:37.244000Z;1606245812142
2020-11-24T19:24:42.349000Z;1606245877245
2020-11-24T19:25:47.451000Z;1606245942349
2020-11-24T19:26:52.555000Z;1606246007454
2020-11-24T19:27:57.660000Z;1606246072561
2020-11-24T19:29:02.764000Z;1606246137661
2020-11-24T19:30:07.869000Z;1606246202765
2020-11-24T19:31:12.971000Z;1606246267869
2020-11-24T19:32:18.074000Z;1606246332971
2020-11-24T19:33:23.176000Z;1606246398078
2020-11-24T19:34:28.281000Z;1606246463177
2020-11-24T19:35:33.385000Z;1606246528281
2020-11-24T19:36:38.488000Z;1606246593385
2020-11-24T19:37:43.593000Z;1606246658490
2020-11-24T19:38:48.697000Z;1606246723614
2020-11-24T19:39:53.800000Z;1606246788698
2020-11-24T19:40:58.903000Z;1606246853801
2020-11-24T19:42:04.007000Z;1606246918905
2020-11-24T19:43:09.111000Z;1606246984008
2020-11-24T19:44:14.216000Z;1606247049116
2020-11-24T19:45:19.320000Z;1606247114217
2020-11-24T19:46:24.424000Z;1606247179321
2020-11-24T19:47:29.527000Z;1606247244423
2020-11-24T19:48:34.629000Z;1606247309527
2020-11-24T19:49:39.734000Z;1606247374634
2020-11-24T19:50:44.837000Z;1606247439734
2020-11-24T19:51:49.941000Z;1606247504838
2020-11-24T19:52:55.044000Z;1606247569946
2020-11-24T19:54:00.147000Z;1606247635046
2020-11-24T19:55:05.656000Z;1606247700147
2020-11-24T19:56:10.352000Z;1606247765251
2020-11-24T19:57:15.456000Z;1606247830353
2020-11-24T19:58:20.558000Z;1606247895461
2020-11-24T19:59:25.661000Z;1606247960559
2020-11-24T20:00:02.697000Z;1606247960559
2020-11-24T20:00:30.763000Z;1606248025662
2020-11-24T20:01:35.867000Z;1606248090764
2020-11-24T20:02:40.970000Z;1606248155868
2020-11-24T20:03:46.074000Z;1606248220972
2020-11-24T20:04:51.177000Z;1606248286075
2020-11-24T20:05:56.282000Z;1606248351179
2020-11-24T20:07:01.848000Z;1606248416282
2020-11-24T20:08:06.488000Z;1606248481389
2020-11-24T20:09:11.591000Z;1606248546489
2020-11-24T20:10:16.695000Z;1606248611592
2020-11-24T20:11:21.799000Z;1606248676696
2020-11-24T20:12:26.901000Z;1606248741816
2020-11-24T20:13:32.005000Z;1606248806902
2020-11-24T20:14:37.108000Z;1606248872005
2020-11-24T20:15:42.210000Z;1606248937109
2020-11-24T20:16:47.315000Z;1606249002212
2020-11-24T20:17:52.419000Z;1606249067320
2020-11-24T20:18:57.523000Z;1606249132420
2020-11-24T20:20:02.628000Z;1606249197525
2020-11-24T20:21:07.732000Z;1606249262629
2020-11-24T20:22:12.835000Z;1606249327732
2020-11-24T20:23:17.939000Z;1606249392840
2020-11-24T20:24:23.042000Z;1606249457939
2020-11-24T20:25:28.146000Z;1606249523043
2020-11-24T20:26:33.249000Z;1606249588147
2020-11-24T20:27:38.352000Z;1606249653253
2020-11-24T20:28:43.455000Z;1606249718353
2020-11-24T20:29:48.558000Z;1606249783455
2020-11-24T20:30:53.663000Z;1606249848559
2020-11-24T20:31:58.765000Z;1606249913663
2020-11-24T20:33:03.870000Z;1606249978771
2020-11-24T20:34:08.976000Z;1606250043870
2020-11-24T20:35:14.077000Z;1606250108974
2020-11-24T20:36:19.182000Z;1606250174078
2020-11-24T20:37:24.285000Z;1606250239186
2020-11-24T20:38:29.388000Z;1606250304284
2020-11-24T20:39:34.490000Z;1606250369389
2020-11-24T20:40:39.595000Z;1606250434492
2020-11-24T20:41:44.698000Z;1606250499595
2020-11-24T20:42:49.801000Z;1606250564722
2020-11-24T20:43:54.905000Z;1606250629803
2020-11-24T20:46:05.116000Z;1606250760017
2020-11-24T20:47:10.219000Z;1606250825118
2020-11-24T20:48:15.322000Z;1606250890221
2020-11-24T20:49:20.423000Z;1606250955322
2020-11-24T20:50:25.526000Z;1606251020424
2020-11-24T20:51:30.627000Z;1606251085526
2020-11-24T20:52:35.731000Z;1606251150630
2020-11-24T20:53:40.834000Z;1606251215732
2020-11-24T20:54:45.940000Z;1606251280837
2020-11-24T20:55:51.049000Z;1606251345940
2020-11-24T20:56:56.153000Z;1606251411048
2020-11-24T20:58:05.845000Z;1606251476156
2020-11-24T20:59:06.359000Z;1606251541257
2020-11-24T21:00:01.219000Z;1606251541257
2020-11-24T21:00:11.463000Z;1606251606360
2020-11-24T21:01:16.566000Z;1606251671465
2020-11-24T21:02:21.670000Z;1606251736567
2020-11-24T21:03:26.775000Z;1606251801674
2020-11-24T21:04:31.878000Z;1606251866775
2020-11-24T21:05:36.982000Z;1606251931879
2020-11-24T21:06:42.086000Z;1606251996984
2020-11-24T21:07:47.191000Z;1606252062092
2020-11-24T21:08:52.292000Z;1606252127191
2020-11-24T21:09:57.396000Z;1606252192294
2020-11-24T21:11:02.501000Z;1606252257398
2020-11-24T21:12:07.603000Z;1606252322501
2020-11-24T21:13:12.708000Z;1606252387634
2020-11-24T21:14:17.811000Z;1606252452709
2020-11-24T21:15:22.915000Z;1606252517812
2020-11-24T21:16:28.019000Z;1606252582916
2020-11-24T21:17:33.122000Z;1606252648022
2020-11-24T21:18:38.226000Z;1606252713123
2020-11-24T21:19:43.330000Z;1606252778226
2020-11-24T21:20:48.432000Z;1606252843331
2020-11-24T21:21:53.538000Z;1606252908434
2020-11-24T21:22:58.640000Z;1606252973541
2020-11-24T21:24:03.744000Z;1606253038641
2020-11-24T21:25:08.846000Z;1606253103744
2020-11-24T21:26:13.952000Z;1606253168848
2020-11-24T21:27:19.052000Z;1606253233951
2020-11-24T21:28:24.159000Z;1606253299060
2020-11-24T21:29:29.262000Z;1606253364159
2020-11-24T21:30:34.371000Z;1606253429268
2020-11-24T21:31:39.474000Z;1606253494371
2020-11-24T21:32:44.577000Z;1606253559477
2020-11-24T21:33:49.679000Z;1606253624577
2020-11-24T21:34:54.782000Z;1606253689680
2020-11-24T21:35:59.886000Z;1606253754783
2020-11-24T21:37:04.990000Z;1606253819887
2020-11-24T21:38:10.093000Z;1606253884995
2020-11-24T21:39:15.196000Z;1606253950094
2020-11-24T21:40:20.299000Z;1606254015198
2020-11-24T21:41:25.403000Z;1606254080300
2020-11-24T21:42:30.505000Z;1606254145403
2020-11-24T21:43:35.606000Z;1606254210522
2020-11-24T21:44:40.710000Z;1606254275608
2020-11-24T21:45:45.813000Z;1606254340710
2020-11-24T21:46:50.917000Z;1606254405814
2020-11-24T21:47:56.019000Z;1606254470921
2020-11-24T21:49:01.896000Z;1606254536020
2020-11-24T21:50:06.225000Z;1606254601123
2020-11-24T21:51:11.329000Z;1606254666226
2020-11-24T21:52:16.434000Z;1606254731330
2020-11-24T21:53:21.537000Z;1606254796440
2020-11-24T21:54:26.640000Z;1606254861537
2020-11-24T22:00:00.222000Z;1606254861537
2020-11-24T23:00:00.225000Z;1606254861537
2020-11-25T00:00:00.227000Z;1606254861537
2020-11-25T01:00:00.699000Z;1606254861537
2020-11-25T02:00:01.160000Z;1606254861537
2020-11-25T03:00:00.163000Z;1606254861537
2020-11-25T03:00:25.963000Z;1606273220862
2020-11-25T04:00:00.165000Z;1606273220862
2020-11-25T05:00:00.167000Z;1606273220862
2020-11-25T05:00:52.489000Z;1606280447391
2020-11-25T05:01:57.593000Z;1606280512490
2020-11-25T06:00:01.157000Z;1606280512490
2020-11-25T07:00:00.159000Z;1606280512490
2020-11-25T08:00:12.807000Z;1606280512490
2020-11-25T09:00:01.203000Z;1606280512490
2020-11-25T10:00:05.409000Z;1606280512490
2020-11-25T11:00:00.412000Z;1606280512490
2020-11-25T12:00:00.413000Z;1606280512490
2020-11-25T13:00:00.415000Z;1606280512490
2020-11-25T14:00:01.451000Z;1606280512490
2020-11-25T15:00:00.454000Z;1606280512490
2020-11-25T16:00:00.792000Z;1606280512490
2020-11-25T17:00:00.963000Z;1606280512490
2020-11-25T18:00:01.163000Z;1606280512490
2020-11-25T19:00:00.165000Z;1606280512490
2020-11-25T19:53:22.818000Z;1606333997720
2020-11-25T19:54:27.926000Z;1606334062823
2020-11-25T19:55:33.029000Z;1606334127927
2020-11-25T19:56:38.133000Z;1606334193031
2020-11-25T19:57:43.239000Z;1606334258135
2020-11-25T19:58:48.342000Z;1606334323257
2020-11-25T19:59:53.445000Z;1606334388344
2020-11-25T20:00:00.167000Z;1606334388344
2020-11-25T20:00:58.549000Z;1606334453446
2020-11-25T20:02:03.653000Z;1606334518551
2020-11-25T20:03:08.756000Z;1606334583654
2020-11-25T20:04:13.860000Z;1606334648761
2020-11-25T20:05:18.964000Z;1606334713861
2020-11-25T20:06:24.064000Z;1606334778963
2020-11-25T20:07:29.169000Z;1606334844067
2020-11-25T20:08:34.273000Z;1606334909170
