time;value
2020-11-23T23:15:32.077000Z;0
2020-11-24T00:00:00.775000Z;0
2020-11-24T01:00:01.271000Z;0
2020-11-24T02:00:00.274000Z;0
2020-11-24T03:00:01.782000Z;0
2020-11-24T03:00:20.202000Z;1
2020-11-24T03:01:30.405000Z;0
2020-11-24T04:00:01.844000Z;0
2020-11-24T05:00:00.852000Z;0
2020-11-24T05:00:48.651000Z;1
2020-11-24T05:03:03.948000Z;0
2020-11-24T06:00:02.183000Z;0
2020-11-24T07:00:00.186000Z;0
2020-11-24T08:00:00.188000Z;0
2020-11-24T09:00:00.190000Z;0
2020-11-24T10:00:00.192000Z;0
2020-11-24T11:00:00.194000Z;0
2020-11-24T12:00:00.195000Z;0
2020-11-24T13:00:00.197000Z;0
2020-11-24T14:00:04.262000Z;0
2020-11-24T15:00:00.705000Z;0
2020-11-24T16:00:01.079000Z;0
2020-11-24T17:00:00.082000Z;0
2020-11-24T18:00:00.085000Z;0
2020-11-24T18:55:19.391000Z;1
2020-11-24T19:00:00.698000Z;1
2020-11-24T20:00:02.698000Z;1
2020-11-24T20:45:00.057000Z;0
2020-11-24T20:46:00.027000Z;1
2020-11-24T21:00:01.220000Z;1
2020-11-24T21:55:31.761000Z;0
2020-11-24T22:00:00.222000Z;0
2020-11-24T23:00:00.225000Z;0
2020-11-25T00:00:00.227000Z;0
2020-11-25T01:00:00.699000Z;0
2020-11-25T02:00:01.160000Z;0
2020-11-25T03:00:00.163000Z;0
2020-11-25T03:00:20.872000Z;1
2020-11-25T03:01:31.088000Z;0
2020-11-25T04:00:00.165000Z;0
2020-11-25T05:00:00.167000Z;0
2020-11-25T05:00:47.403000Z;1
2020-11-25T05:03:02.708000Z;0
2020-11-25T06:00:01.157000Z;0
2020-11-25T07:00:00.159000Z;0
2020-11-25T08:00:12.807000Z;0
2020-11-25T09:00:01.204000Z;0
2020-11-25T10:00:05.409000Z;0
2020-11-25T11:00:00.412000Z;0
2020-11-25T12:00:00.414000Z;0
2020-11-25T13:00:00.415000Z;0
2020-11-25T14:00:01.451000Z;0
2020-11-25T15:00:00.454000Z;0
2020-11-25T16:00:00.792000Z;0
2020-11-25T17:00:00.964000Z;0
2020-11-25T18:00:01.163000Z;0
2020-11-25T19:00:00.165000Z;0
2020-11-25T19:53:17.728000Z;1
2020-11-25T20:00:00.167000Z;1
2020-11-25T21:00:00.169000Z;1
2020-11-25T22:00:00.171000Z;1
2020-11-25T22:07:56.012000Z;0
2020-11-25T23:00:00.172000Z;0
2020-11-26T00:00:00.920000Z;0
2020-11-26T01:00:02.464000Z;0
2020-11-26T02:00:01.407000Z;0
2020-11-26T03:00:01.142000Z;0
2020-11-26T03:00:49.088000Z;1
2020-11-26T03:01:59.279000Z;0
2020-11-26T04:00:00.145000Z;0
2020-11-26T05:00:00.147000Z;0
2020-11-26T05:00:10.958000Z;1
