time;value
2020-10-27T13:52:07Z;16.2099984
2020-10-27T14:00:00Z;16.2099984
2020-10-27T14:52:07Z;16.1
2020-10-27T15:00:00Z;16.1
2020-10-27T15:45:00Z;16.1
2020-10-27T15:52:08Z;15.97
2020-10-27T16:00:00Z;15.97
2020-10-27T16:15:00Z;15.97
2020-10-27T16:30:00Z;15.97
2020-10-27T16:45:00Z;15.97
2020-10-27T16:52:09Z;19.07
2020-10-27T17:00:00Z;19.07
2020-10-27T17:15:00Z;19.07
2020-10-27T17:30:00Z;19.07
2020-10-27T17:45:00Z;19.07
2020-10-27T17:52:09Z;21.02
2020-10-27T18:00:00Z;21.02
2020-10-27T18:15:00Z;21.02
2020-10-27T18:30:00Z;21.02
2020-10-27T18:45:00Z;21.02
2020-10-27T18:52:10Z;21.78
2020-10-27T19:00:00Z;21.78
2020-10-27T19:15:00Z;21.78
2020-10-27T19:30:00Z;21.78
2020-10-27T19:45:00Z;21.78
2020-10-27T19:52:11Z;22.3700016
2020-10-27T20:00:00Z;22.3700016
2020-10-27T20:15:00Z;22.3700016
2020-10-27T20:30:00Z;22.3700016
2020-10-27T20:45:00Z;22.3700016
2020-10-27T20:52:12Z;19.11
2020-10-27T21:00:00Z;19.11
2020-10-27T21:15:00Z;19.11
2020-10-27T21:30:00Z;19.11
2020-10-27T21:45:00Z;19.11
2020-10-27T21:52:12Z;18.26
2020-10-27T22:00:00Z;18.26
2020-10-27T22:15:00Z;18.26
2020-10-27T22:30:00Z;18.26
2020-10-27T22:45:00Z;18.26
2020-10-27T22:52:13Z;17.73
2020-10-27T23:00:00Z;17.73
2020-10-27T23:15:00Z;17.73
2020-10-27T23:30:00Z;17.73
2020-10-27T23:45:00Z;17.73
2020-10-27T23:52:14Z;17.3
2020-10-28T00:00:00Z;17.3
2020-10-28T00:15:00Z;17.3
2020-10-28T00:30:00Z;17.3
2020-10-28T00:45:00Z;17.3
2020-10-28T00:52:15Z;16.99
2020-10-28T01:00:00Z;16.99
2020-10-28T01:15:00Z;16.99
2020-10-28T01:30:00Z;16.99
2020-10-28T01:45:00Z;16.99
2020-10-28T01:52:16Z;16.78
2020-10-28T02:00:00Z;16.78
2020-10-28T02:15:00Z;16.78
2020-10-28T02:30:00Z;16.78
2020-10-28T02:45:00Z;16.78
2020-10-28T02:52:17Z;16.64
2020-10-28T03:00:00Z;16.64
2020-10-28T03:15:00Z;16.64
2020-10-28T03:30:00Z;16.64
2020-10-28T03:45:00Z;16.64
2020-10-28T03:52:17Z;16.4599984
2020-10-28T04:00:00Z;16.4599984
2020-10-28T04:15:00Z;16.4599984
2020-10-28T04:30:00Z;16.4599984
2020-10-28T04:45:00Z;16.4599984
2020-10-28T04:52:18Z;16.28
2020-10-28T05:00:00Z;16.28
2020-10-28T05:15:00Z;16.28
2020-10-28T05:30:00Z;16.28
2020-10-28T05:45:00Z;16.28
2020-10-28T05:52:19Z;16.1200016
2020-10-28T06:00:00Z;16.1200016
2020-10-28T06:15:00Z;16.1200016
2020-10-28T06:30:00Z;16.1200016
2020-10-28T06:45:00Z;16.1200016
2020-10-28T06:52:20Z;16.01
2020-10-28T07:00:00Z;16.01
2020-10-28T07:15:00Z;16.01
2020-10-28T07:30:00Z;16.01
2020-10-28T07:45:00Z;16.01
2020-10-28T07:52:21Z;15.95
2020-10-28T08:00:00Z;15.95
2020-10-28T08:15:00Z;15.95
2020-10-28T08:30:00Z;15.95
2020-10-28T08:45:00Z;15.95
2020-10-28T08:52:22Z;16.27
2020-10-28T09:00:00Z;16.27
2020-10-28T09:15:00Z;16.27
2020-10-28T09:30:00Z;16.27
2020-10-28T09:45:00Z;16.27
2020-10-28T09:52:22Z;16.47
2020-10-28T10:00:00Z;16.47
2020-10-28T10:15:00Z;16.47
2020-10-28T10:30:00Z;16.47
2020-10-28T10:45:00Z;16.47
2020-10-28T10:52:23Z;16.39
2020-10-28T11:00:00Z;16.39
2020-10-28T11:15:00Z;16.39
2020-10-28T11:30:00Z;16.39
2020-10-28T11:45:00Z;16.39
2020-10-28T11:52:24Z;19.4599984
2020-10-28T12:00:00Z;19.4599984
2020-10-28T12:15:00Z;19.4599984
2020-10-28T12:30:00Z;19.4599984
2020-10-28T12:45:00Z;19.4599984
2020-10-28T12:52:25Z;21.7099984
2020-10-28T13:00:00Z;21.7099984
2020-10-28T13:15:00Z;21.7099984
2020-10-28T13:30:00Z;21.7099984
2020-10-28T13:45:00Z;21.7099984
2020-10-28T13:52:25Z;20.6299984
2020-10-28T14:00:00Z;20.6299984
2020-10-28T14:15:00Z;20.6299984
2020-10-28T14:30:00Z;20.6299984
2020-10-28T14:45:00Z;20.6299984
2020-10-28T14:52:26Z;18.49
2020-10-28T15:00:00Z;18.49
2020-10-28T15:15:00Z;18.49
2020-10-28T15:30:00Z;18.49
2020-10-28T15:45:00Z;18.49
2020-10-28T15:52:27Z;17.86
2020-10-28T16:00:00Z;17.86
2020-10-28T16:15:00Z;17.86
2020-10-28T16:30:00Z;17.86
2020-10-28T16:45:00Z;17.86
2020-10-28T16:52:28Z;17.41
2020-10-28T17:00:00Z;17.41
2020-10-28T17:15:00Z;17.41
2020-10-28T17:30:00Z;17.41
2020-10-28T17:45:00Z;17.41
2020-10-28T17:52:28Z;17.14
2020-10-28T18:00:00Z;17.14
2020-10-28T18:15:00Z;17.14
2020-10-28T18:30:00Z;17.14
2020-10-28T18:45:00Z;17.14
2020-10-28T18:52:29Z;21.3700016
2020-10-28T19:00:00Z;21.3700016
2020-10-28T19:15:00Z;21.3700016
2020-10-28T19:30:00Z;21.3700016
2020-10-28T19:45:00Z;21.3700016
2020-10-28T19:52:30Z;22.41
2020-10-28T20:00:00Z;22.41
2020-10-28T20:15:00Z;22.41
2020-10-28T20:30:00Z;22.41
2020-10-28T20:45:00Z;22.41
2020-10-28T20:52:31Z;22.84
2020-10-28T21:00:00Z;22.84
2020-10-28T21:15:00Z;22.84
2020-10-28T21:30:00Z;22.84
2020-10-28T21:45:00Z;22.84
2020-10-28T21:52:32Z;19.69
2020-10-28T22:00:00Z;19.69
2020-10-28T22:15:00Z;19.69
2020-10-28T22:30:00Z;19.69
2020-10-28T22:45:00Z;19.69
2020-10-28T22:52:33Z;18.66
2020-10-28T23:00:00Z;18.66
2020-10-28T23:15:00Z;18.66
2020-10-28T23:30:00Z;18.66
2020-10-28T23:45:00Z;18.66
2020-10-28T23:52:33Z;18.07
2020-10-29T00:00:00Z;18.07
2020-10-29T00:15:00Z;18.07
2020-10-29T00:30:00Z;18.07
2020-10-29T00:45:00Z;18.07
2020-10-29T00:52:34Z;17.6299984
2020-10-29T01:00:00Z;17.6299984
2020-10-29T01:15:00Z;17.6299984
2020-10-29T01:30:00Z;17.6299984
2020-10-29T01:45:00Z;17.6299984
2020-10-29T01:52:35Z;17.33
2020-10-29T02:00:00Z;17.33
2020-10-29T02:15:00Z;17.33
2020-10-29T02:30:00Z;17.33
2020-10-29T02:45:00Z;17.33
2020-10-29T02:52:36Z;17.06
2020-10-29T03:00:00Z;17.06
2020-10-29T03:15:00Z;17.06
2020-10-29T03:30:00Z;17.06
2020-10-29T03:45:00Z;17.06
2020-10-29T03:52:36Z;16.82
2020-10-29T04:00:00Z;16.82
2020-10-29T04:15:00Z;16.82
2020-10-29T04:30:00Z;16.82
2020-10-29T04:45:00Z;16.82
2020-10-29T04:52:37Z;16.56
2020-10-29T05:00:00Z;16.56
2020-10-29T05:15:00Z;16.56
2020-10-29T05:30:00Z;16.56
2020-10-29T05:45:00Z;16.56
2020-10-29T05:52:38Z;16.34
2020-10-29T06:00:00Z;16.34
2020-10-29T06:15:00Z;16.34
2020-10-29T06:30:00Z;16.34
2020-10-29T06:45:00Z;16.34
2020-10-29T06:52:38Z;16.1
2020-10-29T07:00:00Z;16.1
2020-10-29T07:15:00Z;16.1
2020-10-29T07:30:00Z;16.1
2020-10-29T07:45:00Z;16.1
2020-10-29T07:52:39Z;16.05
2020-10-29T08:00:00Z;16.05
2020-10-29T08:15:00Z;16.05
2020-10-29T08:30:00Z;16.05
2020-10-29T08:45:00Z;16.05
2020-10-29T08:52:40Z;16.24
2020-10-29T09:00:00Z;16.24
2020-10-29T09:15:00Z;16.24
2020-10-29T09:30:00Z;16.24
2020-10-29T09:45:00Z;16.24
2020-10-29T09:52:41Z;20.93
2020-10-29T10:00:00Z;20.93
2020-10-29T10:15:00Z;20.93
2020-10-29T10:30:00Z;20.93
2020-10-29T10:45:00Z;20.93
2020-10-29T10:52:42Z;21.92
2020-10-29T11:00:00Z;21.92
2020-10-29T11:15:00Z;21.92
2020-10-29T11:30:00Z;21.92
2020-10-29T11:45:00Z;21.92
2020-10-29T11:52:43Z;22.81
2020-10-29T12:00:00Z;22.81
