time;value
2020-11-04T19:51:14Z;18.9
2020-11-04T19:56:14Z;18.9
2020-11-04T20:00:01Z;18.9
2020-11-04T20:01:15Z;19.17
2020-11-04T20:06:15Z;19.17
2020-11-04T20:11:15Z;19.17
2020-11-04T20:15:00Z;19.17
2020-11-04T20:16:16Z;19.17
2020-11-04T20:21:16Z;19.17
2020-11-04T20:26:16Z;19.17
2020-11-04T20:30:00Z;19.17
2020-11-04T20:31:17Z;18.93
2020-11-04T20:36:17Z;18.9599984
2020-11-04T20:41:17Z;18.98
2020-11-04T20:45:01Z;18.98
2020-11-04T20:46:18Z;18.91
2020-11-04T20:51:18Z;18.83
2020-11-04T20:56:18Z;18.7099984
2020-11-04T21:00:00Z;18.7099984
2020-11-04T21:01:19Z;18.65
2020-11-04T21:06:19Z;18.5
2020-11-04T21:11:19Z;18.3799984
2020-11-04T21:15:00Z;18.3799984
2020-11-04T21:16:20Z;18.35
2020-11-04T21:21:20Z;18.26
2020-11-04T21:26:20Z;18.16
2020-11-04T21:30:00Z;18.16
2020-11-04T21:31:21Z;18.08
2020-11-04T21:36:21Z;17.99
2020-11-04T21:41:21Z;17.83
2020-11-04T21:45:00Z;17.83
2020-11-04T21:46:22Z;17.78
2020-11-04T21:51:22Z;17.72
2020-11-04T21:56:22Z;17.74
2020-11-04T22:00:00Z;17.74
2020-11-04T22:01:23Z;17.7099984
2020-11-04T22:06:23Z;17.68
2020-11-04T22:11:23Z;17.64
2020-11-04T22:15:00Z;17.64
2020-11-04T22:16:23Z;17.57
2020-11-04T22:21:24Z;17.5400016
2020-11-04T22:26:24Z;17.48
2020-11-04T22:30:00Z;17.48
2020-11-04T22:31:24Z;17.4599984
2020-11-04T22:36:25Z;17.36
2020-11-04T22:41:25Z;17.3
2020-11-04T22:45:01Z;17.3
2020-11-04T22:46:25Z;17.24
2020-11-04T22:51:26Z;17.18
2020-11-04T22:56:26Z;17.1200016
2020-11-04T23:00:00Z;17.1200016
2020-11-04T23:01:26Z;17.11
2020-11-04T23:06:27Z;17.09
2020-11-04T23:11:27Z;17.05
2020-11-04T23:15:00Z;17.05
2020-11-04T23:16:27Z;17.0400016
2020-11-04T23:21:28Z;17.01
2020-11-04T23:26:28Z;16.99
2020-11-04T23:30:00Z;16.99
2020-11-04T23:31:28Z;16.97
2020-11-04T23:36:29Z;16.93
2020-11-04T23:41:29Z;16.9
2020-11-04T23:45:00Z;16.9
2020-11-04T23:46:29Z;16.8799984
2020-11-04T23:51:30Z;16.85
2020-11-04T23:56:30Z;16.83
2020-11-05T00:00:00Z;16.83
2020-11-05T00:01:30Z;16.8
2020-11-05T00:06:30Z;16.77
2020-11-05T00:11:31Z;16.78
2020-11-05T00:15:00Z;16.78
2020-11-05T00:16:31Z;16.74
2020-11-05T00:21:31Z;16.72
2020-11-05T00:26:32Z;16.7099984
2020-11-05T00:30:00Z;16.7099984
2020-11-05T00:31:32Z;16.68
2020-11-05T00:36:32Z;16.65
2020-11-05T00:41:33Z;16.6299984
2020-11-05T00:45:00Z;16.6299984
2020-11-05T00:46:33Z;16.6200016
2020-11-05T00:51:33Z;16.6200016
2020-11-05T00:56:34Z;16.59
2020-11-05T01:00:00Z;16.59
2020-11-05T01:01:34Z;16.59
2020-11-05T01:06:34Z;16.57
2020-11-05T01:11:34Z;16.5400016
2020-11-05T01:15:00Z;16.5400016
2020-11-05T01:16:35Z;16.5400016
2020-11-05T01:21:35Z;16.5
2020-11-05T01:26:35Z;16.5
2020-11-05T01:30:00Z;16.5
2020-11-05T01:31:36Z;16.47
2020-11-05T01:36:36Z;16.4599984
2020-11-05T01:41:36Z;16.44
2020-11-05T01:45:01Z;16.44
2020-11-05T01:46:37Z;16.42
2020-11-05T01:51:37Z;16.4
2020-11-05T01:56:37Z;16.3799984
2020-11-05T02:00:00Z;16.3799984
2020-11-05T02:01:38Z;16.36
2020-11-05T02:06:38Z;16.36
2020-11-05T02:11:38Z;16.34
2020-11-05T02:15:00Z;16.34
2020-11-05T02:16:38Z;16.31
2020-11-05T02:21:39Z;16.2900016
2020-11-05T02:26:39Z;16.25
2020-11-05T02:30:00Z;16.25
2020-11-05T02:31:39Z;16.25
2020-11-05T02:36:40Z;16.24
2020-11-05T02:41:40Z;16.22
2020-11-05T02:45:00Z;16.22
2020-11-05T02:46:41Z;16.2
2020-11-05T02:51:41Z;16.17
2020-11-05T02:56:41Z;16.15
2020-11-05T03:00:00Z;16.15
2020-11-05T03:01:41Z;16.1299984
2020-11-05T03:06:42Z;16.11
2020-11-05T03:11:42Z;16.1
2020-11-05T03:15:00Z;16.1
2020-11-05T03:16:42Z;16.09
2020-11-05T03:21:43Z;16.06
2020-11-05T03:26:43Z;16.0400016
2020-11-05T03:30:00Z;16.0400016
2020-11-05T03:31:43Z;16.02
2020-11-05T03:41:44Z;15.99
2020-11-05T03:45:00Z;15.99
2020-11-05T03:46:44Z;15.96
2020-11-05T03:51:45Z;15.93
2020-11-05T03:56:45Z;15.92
2020-11-05T04:00:01Z;15.92
2020-11-05T04:01:45Z;15.91
2020-11-05T04:06:46Z;15.9
2020-11-05T04:11:46Z;15.86
2020-11-05T04:15:00Z;15.86
2020-11-05T04:16:46Z;15.86
2020-11-05T04:21:46Z;15.82
2020-11-05T04:26:47Z;15.81
2020-11-05T04:30:00Z;15.81
2020-11-05T04:31:47Z;15.82
2020-11-05T04:36:47Z;15.79
2020-11-05T04:41:48Z;15.78
2020-11-05T04:45:00Z;15.78
2020-11-05T04:46:48Z;15.76
2020-11-05T04:51:48Z;15.74
2020-11-05T04:56:49Z;15.72
2020-11-05T05:00:00Z;15.72
2020-11-05T05:01:49Z;15.68
2020-11-05T05:06:49Z;15.68
2020-11-05T05:11:50Z;15.67
2020-11-05T05:15:00Z;15.67
2020-11-05T05:16:50Z;15.65
2020-11-05T05:21:50Z;15.64
2020-11-05T05:26:50Z;15.61
2020-11-05T05:30:00Z;15.61
2020-11-05T05:31:51Z;15.6
2020-11-05T05:36:51Z;15.57
2020-11-05T05:41:51Z;15.57
2020-11-05T05:45:01Z;15.57
2020-11-05T05:46:52Z;15.56
2020-11-05T05:51:52Z;15.53
