time;value
2020-12-10T10:50:06.138000Z;OFF
2020-12-10T10:57:43.971000Z;ACTIVE
2020-12-10T11:00:00.545000Z;ACTIVE
2020-12-10T11:01:45.320000Z;OFF
2020-12-10T11:01:45.327000Z;PASSIVE
2020-12-10T11:01:45.359000Z;ACTIVE
2020-12-10T11:02:01.270000Z;OFF
2020-12-10T11:03:41.377000Z;PASSIVE
2020-12-10T11:03:55.862000Z;OFF
2020-12-10T11:04:56.084000Z;PASSIVE
2020-12-10T11:05:23.842000Z;OFF
2020-12-10T11:05:28.360000Z;PASSIVE
2020-12-10T11:05:36.814000Z;OFF
2020-12-10T12:00:00.553000Z;OFF
2020-12-10T12:00:51.239000Z;PASSIVE
2020-12-10T12:03:35.842000Z;ACTIVE
2020-12-10T12:09:47.738000Z;PASSIVE
2020-12-10T12:10:03.720000Z;OFF
2020-12-10T12:10:58.642000Z;PASSIVE
2020-12-10T12:11:02.414000Z;OFF
2020-12-10T12:11:05.936000Z;PASSIVE
2020-12-10T12:11:08.699000Z;OFF
2020-12-10T12:12:40.655000Z;PASSIVE
2020-12-10T12:12:42.506000Z;OFF
2020-12-10T12:15:39.969000Z;PASSIVE
2020-12-10T12:15:55.138000Z;OFF
2020-12-10T12:21:56.576000Z;PASSIVE
2020-12-10T12:21:57.689000Z;OFF
2020-12-10T12:22:00.326000Z;PASSIVE
2020-12-10T12:22:06.101000Z;OFF
2020-12-10T12:22:11.174000Z;PASSIVE
2020-12-10T12:22:24.914000Z;OFF
2020-12-10T12:22:24.968000Z;ACTIVE
2020-12-10T12:22:25.039000Z;PASSIVE
2020-12-10T12:22:27.482000Z;OFF
2020-12-10T12:31:58.155000Z;PASSIVE
2020-12-10T12:32:15.697000Z;OFF
2020-12-10T12:32:24.736000Z;PASSIVE
2020-12-10T12:33:39.371000Z;OFF
2020-12-10T12:35:26.293000Z;PASSIVE
2020-12-10T12:35:29.364000Z;OFF
2020-12-10T12:35:35.904000Z;PASSIVE
2020-12-10T12:46:07.306000Z;OFF
2020-12-10T12:46:16.416000Z;PASSIVE
2020-12-10T12:46:43.474000Z;OFF
2020-12-10T12:56:15.818000Z;PASSIVE
2020-12-10T13:00:01.809000Z;PASSIVE
2020-12-10T13:10:21.856000Z;ACTIVE
2020-12-10T13:10:21.871000Z;PASSIVE
2020-12-10T13:10:54.187000Z;OFF
2020-12-10T13:12:27.004000Z;PASSIVE
2020-12-10T13:12:38.407000Z;OFF
2020-12-10T13:12:40.504000Z;PASSIVE
2020-12-10T13:13:03.182000Z;OFF
2020-12-10T13:13:03.211000Z;PASSIVE
2020-12-10T13:13:03.245000Z;OFF
2020-12-10T13:13:19.643000Z;PASSIVE
2020-12-10T13:13:27.141000Z;OFF
2020-12-10T13:14:04.526000Z;PASSIVE
2020-12-10T13:14:11.493000Z;OFF
2020-12-10T13:15:13.580000Z;PASSIVE
2020-12-10T13:15:21.287000Z;OFF
2020-12-10T13:16:11.318000Z;PASSIVE
2020-12-10T13:16:15.520000Z;OFF
2020-12-10T13:21:44.308000Z;ACTIVE
2020-12-10T13:21:59.092000Z;PASSIVE
2020-12-10T13:22:48.094000Z;OFF
2020-12-10T13:22:48.138000Z;ACTIVE
2020-12-10T13:31:46.289000Z;OFF
2020-12-10T13:32:29.655000Z;PASSIVE
2020-12-10T13:32:32.925000Z;OFF
2020-12-10T13:32:58.699000Z;PASSIVE
2020-12-10T13:33:08.726000Z;OFF
2020-12-10T13:44:23.236000Z;PASSIVE
2020-12-10T13:45:59.851000Z;OFF
2020-12-10T13:46:48.894000Z;PASSIVE
2020-12-10T13:46:54.621000Z;OFF
2020-12-10T13:47:55.254000Z;PASSIVE
2020-12-10T13:48:04.920000Z;OFF
2020-12-10T13:48:12.828000Z;PASSIVE
2020-12-10T13:48:18.933000Z;OFF
2020-12-10T14:00:00.089000Z;OFF
2020-12-10T14:01:11.717000Z;PASSIVE
2020-12-10T14:01:27.710000Z;OFF
2020-12-10T14:53:24.068000Z;PASSIVE
2020-12-10T14:53:26.363000Z;OFF
2020-12-10T15:00:00.094000Z;OFF
2020-12-10T15:09:19.223000Z;PASSIVE
2020-12-10T15:09:23.114000Z;OFF
2020-12-10T16:00:00.109000Z;OFF
2020-12-10T17:00:00.115000Z;OFF
2020-12-10T18:00:00.121000Z;OFF
2020-12-10T19:00:00.125000Z;OFF
2020-12-10T20:00:00.128000Z;OFF
2020-12-10T21:00:00.133000Z;OFF
2020-12-10T22:00:00.138000Z;OFF
2020-12-10T22:12:16.724000Z;PASSIVE
2020-12-10T22:12:20.355000Z;OFF
2020-12-10T22:16:33.958000Z;PASSIVE
2020-12-10T22:16:36.062000Z;OFF
2020-12-10T22:18:59.766000Z;PASSIVE
2020-12-10T22:19:01.642000Z;OFF
2020-12-10T22:22:12.775000Z;PASSIVE
2020-12-10T22:22:13.989000Z;OFF
2020-12-10T22:37:26.992000Z;PASSIVE
2020-12-10T22:37:28.131000Z;OFF
2020-12-10T22:41:56.003000Z;OFF
2020-12-10T22:49:07.871000Z;PASSIVE
2020-12-10T22:49:09.875000Z;OFF
2020-12-10T23:00:00.202000Z;OFF
2020-12-10T23:12:19.821000Z;OFF
2020-12-10T23:21:30.740000Z;OFF
2020-12-10T23:21:40.948000Z;PASSIVE
2020-12-10T23:21:43.512000Z;OFF
2020-12-10T23:28:15.927000Z;PASSIVE
2020-12-10T23:28:20.060000Z;OFF
2020-12-10T23:43:01.657000Z;ACTIVE
2020-12-10T23:43:07.770000Z;OFF
2020-12-11T00:00:10.617000Z;OFF
2020-12-11T01:00:00.620000Z;OFF
2020-12-11T02:00:02.421000Z;OFF
2020-12-11T03:00:01.797000Z;OFF
2020-12-11T04:00:01.429000Z;OFF
2020-12-11T04:30:02.212000Z;ACTIVE
2020-12-11T05:00:01.157000Z;ACTIVE
2020-12-11T06:00:00.166000Z;ACTIVE
2020-12-11T06:12:54.061000Z;OFF
2020-12-11T07:00:00.170000Z;OFF
2020-12-11T08:00:00.175000Z;OFF
2020-12-11T09:00:01.046000Z;OFF
2020-12-11T10:00:00.053000Z;OFF
2020-12-11T11:00:00.060000Z;OFF
2020-12-11T12:00:00.065000Z;OFF
2020-12-11T13:00:00.069000Z;OFF
2020-12-11T14:00:00.073000Z;OFF
2020-12-11T15:00:00.082000Z;OFF
2020-12-11T16:00:00.820000Z;OFF
2020-12-11T17:00:01.102000Z;OFF
2020-12-11T18:00:00.114000Z;OFF
2020-12-11T19:00:00.120000Z;OFF
2020-12-11T20:00:00.123000Z;OFF
2020-12-11T21:00:00.128000Z;OFF
2020-12-11T22:00:00.132000Z;OFF
2020-12-11T23:00:00.138000Z;OFF
2020-12-11T23:01:54.511000Z;ACTIVE
2020-12-11T23:55:20.932000Z;OFF
2020-12-12T00:00:00.142000Z;OFF
2020-12-12T01:00:00.146000Z;OFF
2020-12-12T02:00:00.150000Z;OFF
2020-12-12T03:00:00.156000Z;OFF
2020-12-12T04:00:00.161000Z;OFF
2020-12-12T05:00:00.164000Z;OFF
2020-12-12T06:00:00.168000Z;OFF
2020-12-12T07:00:00.171000Z;OFF
2020-12-12T08:00:00.175000Z;OFF
2020-12-12T09:00:01.181000Z;OFF
2020-12-12T10:00:00.190000Z;OFF
2020-12-12T11:00:00.194000Z;OFF
2020-12-12T12:00:00.198000Z;OFF
2020-12-12T13:00:00.201000Z;OFF
2020-12-12T14:00:00.205000Z;OFF
2020-12-12T15:00:00.209000Z;OFF
2020-12-12T16:00:00.213000Z;OFF
2020-12-12T17:00:00.217000Z;OFF
2020-12-12T18:00:00.221000Z;OFF
2020-12-12T19:00:00.225000Z;OFF
2020-12-12T20:00:00.229000Z;OFF
2020-12-12T21:00:01.348000Z;OFF
2020-12-12T22:00:00.352000Z;OFF
2020-12-12T23:00:00.357000Z;OFF
2020-12-12T23:03:39.665000Z;ACTIVE
2020-12-12T23:03:49.429000Z;OFF
2020-12-12T23:04:56.286000Z;ACTIVE
2020-12-12T23:05:14.668000Z;OFF
2020-12-13T00:00:02.759000Z;OFF
2020-12-13T01:00:01.721000Z;OFF
2020-12-13T02:00:01.812000Z;OFF
2020-12-13T03:00:12.950000Z;OFF
2020-12-13T04:00:01.219000Z;OFF
2020-12-13T05:00:00.224000Z;OFF
2020-12-13T06:00:00.229000Z;OFF
2020-12-13T07:00:00.233000Z;OFF
2020-12-13T08:00:00.237000Z;OFF
2020-12-13T09:00:00.241000Z;OFF
2020-12-13T10:00:00.246000Z;OFF
2020-12-13T11:00:00.250000Z;OFF
2020-12-13T12:00:00.255000Z;OFF
2020-12-13T13:00:01.783000Z;OFF
2020-12-13T14:00:09.891000Z;OFF
2020-12-13T15:00:02.122000Z;OFF
2020-12-13T16:00:05.098000Z;OFF
2020-12-13T17:00:00.107000Z;OFF
2020-12-13T18:00:01.271000Z;OFF
2020-12-13T19:00:00.279000Z;OFF
2020-12-13T20:00:00.283000Z;OFF
2020-12-13T21:00:00.286000Z;OFF
2020-12-13T22:00:00.290000Z;OFF
2020-12-13T23:00:03.370000Z;OFF
2020-12-14T00:00:01.086000Z;OFF
2020-12-14T01:00:00.096000Z;OFF
2020-12-14T02:00:00.104000Z;OFF
2020-12-14T03:00:00.108000Z;OFF
2020-12-14T04:00:00.112000Z;OFF
2020-12-14T05:00:02.106000Z;OFF
2020-12-14T06:00:00.113000Z;OFF
2020-12-14T07:00:00.117000Z;OFF
2020-12-14T08:00:00.125000Z;OFF
2020-12-14T09:00:00.130000Z;OFF
2020-12-14T10:00:00.138000Z;OFF
2020-12-14T11:00:00.141000Z;OFF
2020-12-14T12:00:00.146000Z;OFF
2020-12-14T13:00:00.153000Z;OFF
2020-12-14T14:00:00.157000Z;OFF
2020-12-14T15:00:00.160000Z;OFF
2020-12-14T15:26:30.990000Z;ACTIVE
2020-12-14T15:28:08.411000Z;OFF
2020-12-14T16:00:00.165000Z;OFF
2020-12-14T17:00:00.169000Z;OFF
2020-12-14T18:00:00.173000Z;OFF
2020-12-14T19:00:00.177000Z;OFF
2020-12-14T20:00:00.181000Z;OFF
2020-12-14T21:00:00.185000Z;OFF
2020-12-14T21:19:05.887000Z;ACTIVE
2020-12-14T21:19:09.650000Z;OFF
2020-12-14T22:00:00.189000Z;OFF
2020-12-14T22:00:02.078000Z;ACTIVE
2020-12-14T22:16:50.919000Z;OFF
2020-12-14T23:00:00.193000Z;OFF
2020-12-14T23:44:51.418000Z;ACTIVE
2020-12-14T23:46:07.739000Z;OFF
2020-12-14T23:46:27.750000Z;PASSIVE
2020-12-14T23:46:58.528000Z;OFF
2020-12-15T00:00:00.197000Z;OFF
2020-12-15T01:00:00.201000Z;OFF
2020-12-15T02:00:00.206000Z;OFF
2020-12-15T03:00:00.210000Z;OFF
2020-12-15T04:00:00.909000Z;OFF
2020-12-15T05:00:06.103000Z;OFF
2020-12-15T06:00:00.112000Z;OFF
2020-12-15T07:00:00.117000Z;OFF
2020-12-15T08:00:00.121000Z;OFF
2020-12-15T08:42:27.196000Z;OFF
2020-12-15T09:00:00.604000Z;OFF
2020-12-15T10:00:07.461000Z;OFF
2020-12-15T11:00:00.470000Z;OFF
2020-12-15T12:00:02.433000Z;OFF
2020-12-15T13:00:00.443000Z;OFF
2020-12-15T14:00:00.447000Z;OFF
2020-12-15T15:00:00.451000Z;OFF
2020-12-15T16:00:01.054000Z;OFF
2020-12-15T17:00:00.059000Z;OFF
2020-12-15T18:00:00.064000Z;OFF
2020-12-15T19:00:00.069000Z;OFF
2020-12-15T20:00:00.078000Z;OFF
2020-12-15T21:00:00.084000Z;OFF
2020-12-15T22:00:00.090000Z;OFF
2020-12-15T23:00:01.621000Z;OFF
2020-12-16T00:00:00.632000Z;OFF
2020-12-16T01:00:01.067000Z;OFF
2020-12-16T02:00:00.075000Z;OFF
2020-12-16T03:00:00.085000Z;OFF
2020-12-16T04:00:00.092000Z;OFF
2020-12-16T04:45:01.205000Z;ACTIVE
2020-12-16T05:00:00.102000Z;ACTIVE
2020-12-16T05:52:07.754000Z;PASSIVE
2020-12-16T06:00:00.113000Z;PASSIVE
2020-12-16T06:52:14.935000Z;OFF
2020-12-16T07:00:00.121000Z;OFF
2020-12-16T08:00:00.126000Z;OFF
