time;value
2020-12-10T10:47:04.527000Z;OFF
2020-12-10T10:52:46Z;ACTIVE
2020-12-10T10:53:04.167000Z;OFF
2020-12-10T10:53:24.019000Z;ACTIVE
2020-12-10T10:53:28.034000Z;OFF
2020-12-10T10:53:29.753000Z;ACTIVE
2020-12-10T10:53:31.678000Z;OFF
2020-12-10T10:55:21.285000Z;ACTIVE
2020-12-10T10:56:05.317000Z;OFF
2020-12-10T10:56:28.168000Z;ACTIVE
2020-12-10T10:56:40.821000Z;OFF
2020-12-10T10:56:54.848000Z;ACTIVE
2020-12-10T10:57:43.905000Z;OFF
2020-12-10T10:57:43.945000Z;ACTIVE
2020-12-10T10:57:43.973000Z;PASSIVE
2020-12-10T11:00:00.546000Z;PASSIVE
2020-12-10T11:01:45.340000Z;ACTIVE
2020-12-10T11:01:45.358000Z;OFF
2020-12-10T11:03:28.692000Z;ACTIVE
2020-12-10T11:04:40.494000Z;PASSIVE
2020-12-10T11:04:51.033000Z;OFF
2020-12-10T11:05:33.532000Z;ACTIVE
2020-12-10T11:05:35.751000Z;OFF
2020-12-10T11:37:59.635000Z;ACTIVE
2020-12-10T11:38:05.304000Z;OFF
2020-12-10T11:38:06.091000Z;ACTIVE
2020-12-10T11:38:15.228000Z;OFF
2020-12-10T11:38:19.021000Z;ACTIVE
2020-12-10T11:39:01.835000Z;OFF
2020-12-10T11:39:25.624000Z;ACTIVE
2020-12-10T11:39:34.671000Z;OFF
2020-12-10T11:42:07.186000Z;ACTIVE
2020-12-10T11:42:13.002000Z;OFF
2020-12-10T11:42:25.638000Z;ACTIVE
2020-12-10T11:42:29.327000Z;OFF
2020-12-10T11:48:06.013000Z;ACTIVE
2020-12-10T11:48:14.274000Z;OFF
2020-12-10T11:59:26.011000Z;PASSIVE
2020-12-10T11:59:28.061000Z;OFF
2020-12-10T12:00:00.554000Z;OFF
2020-12-10T12:00:47.814000Z;ACTIVE
2020-12-10T12:01:25.880000Z;OFF
2020-12-10T12:09:14.793000Z;ACTIVE
2020-12-10T12:12:29.453000Z;OFF
2020-12-10T12:12:30.951000Z;ACTIVE
2020-12-10T12:15:23.881000Z;OFF
2020-12-10T12:15:39.930000Z;PASSIVE
2020-12-10T12:15:39.978000Z;ACTIVE
2020-12-10T12:17:13.034000Z;OFF
2020-12-10T12:22:09.794000Z;ACTIVE
2020-12-10T12:22:24.921000Z;PASSIVE
2020-12-10T12:22:25Z;ACTIVE
2020-12-10T12:22:27.495000Z;OFF
2020-12-10T12:31:55.268000Z;ACTIVE
2020-12-10T12:32:15.706000Z;OFF
2020-12-10T12:32:24.728000Z;ACTIVE
2020-12-10T12:33:15.722000Z;OFF
2020-12-10T12:33:26.366000Z;ACTIVE
2020-12-10T12:35:17.145000Z;OFF
2020-12-10T12:35:17.216000Z;ACTIVE
2020-12-10T12:46:07.297000Z;OFF
2020-12-10T12:46:16.424000Z;ACTIVE
2020-12-10T12:56:20.287000Z;OFF
2020-12-10T12:56:23.520000Z;ACTIVE
2020-12-10T13:00:01.810000Z;ACTIVE
2020-12-10T13:10:27.817000Z;OFF
2020-12-10T13:10:29.771000Z;ACTIVE
2020-12-10T13:10:54.193000Z;OFF
2020-12-10T13:12:26.992000Z;ACTIVE
2020-12-10T13:12:38.396000Z;OFF
2020-12-10T13:12:40.488000Z;ACTIVE
2020-12-10T13:13:03.208000Z;PASSIVE
2020-12-10T13:13:03.257000Z;ACTIVE
2020-12-10T13:13:12.565000Z;OFF
2020-12-10T13:13:19.634000Z;ACTIVE
2020-12-10T13:14:00.226000Z;PASSIVE
2020-12-10T13:14:00.282000Z;ACTIVE
2020-12-10T13:14:35.682000Z;PASSIVE
2020-12-10T13:14:35.705000Z;ACTIVE
2020-12-10T13:15:09.080000Z;OFF
2020-12-10T13:15:13.557000Z;ACTIVE
2020-12-10T13:16:03.638000Z;OFF
2020-12-10T13:16:03.736000Z;ACTIVE
2020-12-10T13:19:57.907000Z;OFF
2020-12-10T13:19:57.939000Z;ACTIVE
2020-12-10T13:20:52.474000Z;PASSIVE
2020-12-10T13:20:52.511000Z;ACTIVE
2020-12-10T13:22:48.011000Z;OFF
2020-12-10T13:22:48.032000Z;PASSIVE
2020-12-10T13:22:48.138000Z;ACTIVE
2020-12-10T13:31:40.133000Z;OFF
2020-12-10T13:32:24.382000Z;ACTIVE
2020-12-10T13:32:27.721000Z;OFF
2020-12-10T13:32:58.670000Z;ACTIVE
2020-12-10T13:33:08.738000Z;OFF
2020-12-10T13:44:23.325000Z;ACTIVE
2020-12-10T13:45:58.064000Z;OFF
2020-12-10T13:46:38.277000Z;ACTIVE
2020-12-10T13:46:45.857000Z;OFF
2020-12-10T13:47:01.727000Z;ACTIVE
2020-12-10T13:47:46.945000Z;OFF
2020-12-10T13:47:46.994000Z;ACTIVE
2020-12-10T13:47:53.109000Z;OFF
2020-12-10T13:48:05.761000Z;ACTIVE
2020-12-10T13:48:11.741000Z;OFF
2020-12-10T13:48:19.750000Z;ACTIVE
2020-12-10T13:51:12.069000Z;OFF
2020-12-10T13:52:06.246000Z;ACTIVE
2020-12-10T13:52:25.184000Z;OFF
2020-12-10T13:52:48.621000Z;ACTIVE
2020-12-10T13:54:31.477000Z;OFF
2020-12-10T13:54:35.287000Z;ACTIVE
