time;value
2020-12-10T15:04:03.499000Z;OFF
2020-12-10T15:08:50.025000Z;ACTIVE
2020-12-10T15:09:33.880000Z;OFF
2020-12-10T15:12:16.818000Z;OFF
2020-12-10T15:12:26.081000Z;ACTIVE
2020-12-10T15:12:33.777000Z;PASSIVE
2020-12-10T15:12:54.687000Z;OFF
2020-12-10T15:24:09.754000Z;PASSIVE
2020-12-10T15:24:26.136000Z;OFF
2020-12-10T15:24:58.274000Z;ACTIVE
2020-12-10T15:25:35.492000Z;OFF
2020-12-10T15:25:35.691000Z;ACTIVE
2020-12-10T15:25:45.254000Z;OFF
2020-12-10T15:34:43.587000Z;PASSIVE
2020-12-10T15:34:48.923000Z;OFF
2020-12-10T15:39:45.723000Z;PASSIVE
2020-12-10T15:39:55.599000Z;OFF
2020-12-10T15:40:04.770000Z;PASSIVE
2020-12-10T15:40:16.626000Z;ACTIVE
2020-12-10T15:41:00.263000Z;OFF
2020-12-10T15:41:05.407000Z;ACTIVE
2020-12-10T15:45:55.778000Z;OFF
2020-12-10T15:45:55.838000Z;PASSIVE
2020-12-10T15:45:55.915000Z;ACTIVE
2020-12-10T16:00:00.110000Z;ACTIVE
2020-12-10T16:24:53.182000Z;OFF
2020-12-10T16:24:53.220000Z;PASSIVE
2020-12-10T16:24:53.251000Z;ACTIVE
2020-12-10T16:24:53.256000Z;PASSIVE
2020-12-10T16:36:25.112000Z;ACTIVE
2020-12-10T17:00:00.115000Z;ACTIVE
2020-12-10T18:00:00.121000Z;ACTIVE
2020-12-10T18:39:16.336000Z;OFF
2020-12-10T18:39:16.516000Z;ACTIVE
2020-12-10T18:39:16.544000Z;ACTIVE
2020-12-10T18:39:16.545000Z;ACTIVE
2020-12-10T18:43:49.896000Z;OFF
2020-12-10T18:43:50.147000Z;ACTIVE
2020-12-10T19:00:00.125000Z;ACTIVE
2020-12-10T19:08:14.557000Z;OFF
2020-12-10T19:08:14.697000Z;ACTIVE
2020-12-10T19:08:14.743000Z;OFF
2020-12-10T19:11:25.114000Z;ACTIVE
2020-12-10T19:14:52.187000Z;OFF
2020-12-10T19:14:52.233000Z;ACTIVE
2020-12-10T19:18:44.211000Z;OFF
2020-12-10T19:18:44.266000Z;PASSIVE
2020-12-10T19:18:44.342000Z;ACTIVE
2020-12-10T19:26:52.061000Z;PASSIVE
2020-12-10T19:26:52.072000Z;ACTIVE
2020-12-10T20:00:00.129000Z;ACTIVE
2020-12-10T21:00:00.134000Z;ACTIVE
2020-12-10T21:05:04.441000Z;OFF
2020-12-10T21:51:57.245000Z;ACTIVE
2020-12-10T21:55:31.399000Z;OFF
2020-12-10T22:00:00.139000Z;OFF
2020-12-10T22:04:49.501000Z;PASSIVE
2020-12-10T22:04:59.113000Z;ACTIVE
2020-12-10T22:05:08.092000Z;OFF
2020-12-10T22:05:16.318000Z;PASSIVE
2020-12-10T22:06:34.996000Z;OFF
2020-12-10T22:08:13.821000Z;ACTIVE
2020-12-10T22:08:52.514000Z;PASSIVE
2020-12-10T22:10:11.909000Z;ACTIVE
2020-12-10T22:10:44.371000Z;PASSIVE
2020-12-10T22:16:17.056000Z;ACTIVE
2020-12-10T22:16:17.088000Z;PASSIVE
2020-12-10T22:21:47.085000Z;ACTIVE
2020-12-10T22:21:47.086000Z;OFF
2020-12-10T22:22:06.156000Z;PASSIVE
2020-12-10T22:22:49.230000Z;ACTIVE
2020-12-10T22:22:49.272000Z;PASSIVE
2020-12-10T22:24:36.673000Z;OFF
2020-12-10T22:37:20.613000Z;PASSIVE
2020-12-10T22:37:21.226000Z;OFF
2020-12-10T22:48:42.190000Z;PASSIVE
2020-12-10T22:48:44.157000Z;OFF
2020-12-10T23:00:00.203000Z;OFF
2020-12-10T23:10:27.337000Z;PASSIVE
2020-12-10T23:10:29.982000Z;OFF
2020-12-10T23:10:30.815000Z;PASSIVE
