time;value
2020-12-10T10:51:39.352000Z;ON
2020-12-10T10:51:49.194000Z;OFF
2020-12-10T10:52:24.284000Z;ON
2020-12-10T10:52:41.439000Z;OFF
2020-12-10T10:53:32.758000Z;ON
2020-12-10T10:55:17.405000Z;OFF
2020-12-10T10:55:18.857000Z;ON
2020-12-10T10:55:34.940000Z;OFF
2020-12-10T10:56:09.459000Z;ON
2020-12-10T10:56:20.114000Z;OFF
2020-12-10T10:56:47.654000Z;ON
2020-12-10T10:56:50.228000Z;OFF
2020-12-10T10:56:53.251000Z;ON
2020-12-10T11:00:00.546000Z;ON
2020-12-10T11:02:01.209000Z;OFF
2020-12-10T11:03:41.325000Z;ON
2020-12-10T11:03:55.813000Z;OFF
2020-12-10T11:04:56.038000Z;ON
2020-12-10T11:05:23.785000Z;OFF
2020-12-10T11:05:28.303000Z;ON
2020-12-10T11:05:36.757000Z;OFF
2020-12-10T12:00:00.553000Z;OFF
2020-12-10T12:00:51.204000Z;ON
2020-12-10T12:10:03.676000Z;OFF
2020-12-10T12:10:58.579000Z;ON
2020-12-10T12:11:02.343000Z;OFF
2020-12-10T12:11:05.882000Z;ON
2020-12-10T12:11:08.645000Z;OFF
2020-12-10T12:12:40.617000Z;ON
2020-12-10T12:12:42.473000Z;OFF
2020-12-10T12:14:50.882000Z;ON
2020-12-10T12:15:55.083000Z;OFF
2020-12-10T12:21:56.530000Z;ON
2020-12-10T12:21:57.629000Z;OFF
2020-12-10T12:22:00.289000Z;ON
2020-12-10T12:22:06.102000Z;OFF
2020-12-10T12:22:11.090000Z;ON
2020-12-10T12:22:27.438000Z;OFF
2020-12-10T12:31:58.101000Z;ON
2020-12-10T12:32:15.642000Z;OFF
2020-12-10T12:32:24.693000Z;ON
2020-12-10T12:33:39.321000Z;OFF
2020-12-10T12:35:26.255000Z;ON
2020-12-10T12:35:29.294000Z;OFF
2020-12-10T12:35:35.846000Z;ON
2020-12-10T12:46:07.220000Z;OFF
2020-12-10T12:46:16.361000Z;ON
2020-12-10T12:46:43.427000Z;OFF
2020-12-10T12:56:15.781000Z;ON
2020-12-10T13:00:01.809000Z;ON
2020-12-10T13:10:54.084000Z;OFF
2020-12-10T13:12:26.928000Z;ON
2020-12-10T13:12:38.339000Z;OFF
2020-12-10T13:12:40.458000Z;ON
2020-12-10T13:13:12.520000Z;OFF
2020-12-10T13:13:19.591000Z;ON
2020-12-10T13:13:27.086000Z;OFF
2020-12-10T13:14:04.478000Z;ON
2020-12-10T13:14:11.446000Z;OFF
2020-12-10T13:15:13.502000Z;ON
2020-12-10T13:15:21.244000Z;OFF
2020-12-10T13:16:11.279000Z;ON
2020-12-10T13:16:15.487000Z;OFF
2020-12-10T13:21:44.227000Z;ON
2020-12-10T13:31:40.975000Z;ON
2020-12-10T13:31:46.252000Z;OFF
2020-12-10T13:32:29.604000Z;ON
2020-12-10T13:32:32.889000Z;OFF
2020-12-10T13:32:58.623000Z;ON
2020-12-10T13:33:08.665000Z;OFF
2020-12-10T13:44:20.999000Z;OFF
2020-12-10T13:44:23.179000Z;ON
2020-12-10T13:45:59.813000Z;OFF
2020-12-10T13:46:48.813000Z;ON
2020-12-10T13:46:54.585000Z;OFF
2020-12-10T13:47:55.174000Z;ON
2020-12-10T13:48:04.856000Z;OFF
2020-12-10T13:48:12.789000Z;ON
2020-12-10T13:48:18.892000Z;OFF
2020-12-10T14:00:00.089000Z;OFF
2020-12-10T14:01:11.668000Z;ON
2020-12-10T14:01:27.671000Z;OFF
2020-12-10T14:53:23.985000Z;ON
2020-12-10T14:53:26.301000Z;OFF
2020-12-10T15:00:00.095000Z;OFF
2020-12-10T15:09:19.155000Z;ON
2020-12-10T15:09:23.074000Z;OFF
2020-12-10T16:00:00.110000Z;OFF
2020-12-10T17:00:00.116000Z;OFF
2020-12-10T18:00:00.121000Z;OFF
2020-12-10T19:00:00.125000Z;OFF
2020-12-10T20:00:00.129000Z;OFF
2020-12-10T21:00:00.134000Z;OFF
2020-12-10T22:00:00.139000Z;OFF
2020-12-10T22:12:16.691000Z;ON
2020-12-10T22:12:20.293000Z;OFF
2020-12-10T22:16:33.922000Z;ON
2020-12-10T22:16:36.031000Z;OFF
2020-12-10T22:18:59.723000Z;ON
2020-12-10T22:19:01.642000Z;OFF
2020-12-10T22:22:12.708000Z;ON
2020-12-10T22:22:13.947000Z;OFF
2020-12-10T22:37:26.948000Z;ON
2020-12-10T22:37:28.096000Z;OFF
2020-12-10T22:49:07.798000Z;ON
2020-12-10T22:49:09.835000Z;OFF
2020-12-10T23:00:00.203000Z;OFF
2020-12-10T23:21:40.909000Z;ON
2020-12-10T23:21:43.476000Z;OFF
2020-12-10T23:28:15.888000Z;ON
2020-12-10T23:28:20.021000Z;OFF
2020-12-10T23:43:01.625000Z;ON
2020-12-10T23:43:07.738000Z;OFF
2020-12-11T00:00:10.617000Z;OFF
2020-12-11T01:00:00.621000Z;OFF
2020-12-11T02:00:02.422000Z;OFF
2020-12-11T03:00:01.799000Z;OFF
