time;value
2020-12-09T20:33:50.476000Z;ON
2020-12-09T20:33:53.100000Z;OFF
2020-12-09T20:33:54.409000Z;ON
2020-12-09T20:34:21.121000Z;OFF
2020-12-09T20:34:22.317000Z;ON
2020-12-09T20:34:37.847000Z;OFF
2020-12-09T20:34:39.328000Z;ON
2020-12-09T20:34:40.657000Z;OFF
2020-12-09T20:34:41.780000Z;ON
2020-12-09T20:34:42.514000Z;OFF
2020-12-09T20:34:43.132000Z;ON
2020-12-09T20:34:43.807000Z;OFF
2020-12-09T20:34:44.785000Z;ON
2020-12-09T20:36:08.641000Z;OFF
2020-12-09T20:36:10.986000Z;ON
2020-12-09T20:36:13.948000Z;OFF
2020-12-09T20:36:15.339000Z;ON
2020-12-09T20:36:40.081000Z;OFF
2020-12-09T20:36:42.857000Z;ON
2020-12-09T20:37:18.138000Z;OFF
2020-12-09T20:37:20.609000Z;ON
2020-12-09T20:37:23.829000Z;OFF
2020-12-09T20:43:29.005000Z;ON
2020-12-09T20:45:02.040000Z;OFF
2020-12-09T20:45:03.340000Z;ON
2020-12-09T20:45:31.397000Z;OFF
2020-12-09T20:45:32.714000Z;ON
2020-12-09T21:00:01.369000Z;ON
2020-12-09T21:19:51.695000Z;OFF
2020-12-09T21:19:59.122000Z;ON
2020-12-09T21:20:02.746000Z;OFF
2020-12-09T21:20:04.280000Z;ON
2020-12-09T22:00:00.373000Z;ON
2020-12-09T23:00:00.376000Z;ON
2020-12-10T00:00:00.378000Z;ON
2020-12-10T01:00:01.196000Z;ON
2020-12-10T02:00:00.200000Z;ON
2020-12-10T03:00:00.203000Z;ON
2020-12-10T04:00:00.205000Z;ON
2020-12-10T05:00:00.700000Z;ON
2020-12-10T06:00:01.060000Z;ON
2020-12-10T07:00:00.062000Z;ON
2020-12-10T08:00:00.067000Z;ON
2020-12-10T09:00:00.070000Z;ON
2020-12-10T09:20:54.877000Z;OFF
2020-12-10T09:20:59.227000Z;ON
2020-12-10T09:39:08.448000Z;OFF
2020-12-10T09:39:10.413000Z;ON
2020-12-10T09:39:12.677000Z;OFF
2020-12-10T09:40:42.680000Z;ON
2020-12-10T09:40:45.554000Z;OFF
2020-12-10T09:40:47.012000Z;ON
2020-12-10T09:40:49.523000Z;OFF
2020-12-10T09:40:50.773000Z;ON
2020-12-10T09:42:55.503000Z;OFF
2020-12-10T09:42:59.931000Z;ON
2020-12-10T09:49:42.396000Z;OFF
2020-12-10T09:49:51.923000Z;ON
2020-12-10T09:49:53.780000Z;OFF
2020-12-10T09:51:07.140000Z;ON
2020-12-10T09:51:09.821000Z;OFF
2020-12-10T09:51:13.805000Z;ON
2020-12-10T09:51:15.184000Z;OFF
2020-12-10T10:00:00.544000Z;OFF
2020-12-10T10:14:19.608000Z;ON
2020-12-10T10:14:43.939000Z;OFF
2020-12-10T10:16:23.517000Z;ON
2020-12-10T10:29:01.518000Z;OFF
2020-12-10T10:29:11.839000Z;ON
2020-12-10T10:37:03.881000Z;OFF
2020-12-10T10:52:45.933000Z;ON
2020-12-10T10:53:04.126000Z;OFF
2020-12-10T10:53:23.975000Z;ON
2020-12-10T10:53:27.990000Z;OFF
2020-12-10T10:53:29.703000Z;ON
2020-12-10T10:53:31.635000Z;OFF
2020-12-10T10:55:21.205000Z;ON
2020-12-10T10:56:05.252000Z;OFF
2020-12-10T10:56:28.119000Z;ON
2020-12-10T10:56:40.790000Z;OFF
2020-12-10T10:56:54.789000Z;ON
2020-12-10T11:00:00.546000Z;ON
2020-12-10T11:01:59.819000Z;OFF
2020-12-10T11:03:28.642000Z;ON
2020-12-10T11:04:50.975000Z;OFF
2020-12-10T11:05:33.499000Z;ON
2020-12-10T11:05:35.710000Z;OFF
2020-12-10T11:37:59.595000Z;ON
2020-12-10T11:38:05.246000Z;OFF
2020-12-10T11:38:06.039000Z;ON
2020-12-10T11:38:15.168000Z;OFF
2020-12-10T11:38:18.970000Z;ON
2020-12-10T11:39:01.775000Z;OFF
2020-12-10T11:39:25.575000Z;ON
2020-12-10T11:39:34.640000Z;OFF
2020-12-10T11:42:07.153000Z;ON
2020-12-10T11:42:12.962000Z;OFF
2020-12-10T11:42:25.603000Z;ON
2020-12-10T11:42:29.284000Z;OFF
2020-12-10T11:48:05.934000Z;ON
2020-12-10T11:48:14.234000Z;OFF
2020-12-10T12:00:00.553000Z;OFF
2020-12-10T12:00:47.777000Z;ON
2020-12-10T12:01:25.847000Z;OFF
2020-12-10T12:09:14.757000Z;ON
2020-12-10T12:12:29.408000Z;OFF
2020-12-10T12:12:30.911000Z;ON
2020-12-10T12:15:23.844000Z;OFF
2020-12-10T12:15:25.206000Z;ON
2020-12-10T12:17:12.995000Z;OFF
2020-12-10T12:22:09.738000Z;ON
2020-12-10T12:22:27.440000Z;OFF
2020-12-10T12:31:55.229000Z;ON
2020-12-10T12:32:15.643000Z;OFF
2020-12-10T12:32:24.686000Z;ON
2020-12-10T12:33:15.674000Z;OFF
2020-12-10T12:33:26.307000Z;ON
2020-12-10T12:46:07.219000Z;OFF
2020-12-10T12:46:16.372000Z;ON
2020-12-10T12:56:20.251000Z;OFF
2020-12-10T12:56:23.475000Z;ON
2020-12-10T13:00:01.809000Z;ON
2020-12-10T13:10:27.759000Z;OFF
2020-12-10T13:10:29.714000Z;ON
2020-12-10T13:10:54.089000Z;OFF
2020-12-10T13:12:26.917000Z;ON
2020-12-10T13:12:38.332000Z;OFF
2020-12-10T13:12:40.448000Z;ON
2020-12-10T13:13:12.502000Z;OFF
2020-12-10T13:13:19.581000Z;ON
2020-12-10T13:15:09.045000Z;OFF
2020-12-10T13:15:13.501000Z;ON
2020-12-10T13:31:31.403000Z;ON
2020-12-10T13:31:40.089000Z;OFF
2020-12-10T13:32:24.331000Z;ON
2020-12-10T13:32:27.677000Z;OFF
2020-12-10T13:32:58.605000Z;ON
2020-12-10T13:33:08.671000Z;OFF
2020-12-10T13:44:20.992000Z;OFF
2020-12-10T13:44:23.181000Z;ON
2020-12-10T13:45:58.022000Z;OFF
2020-12-10T13:46:38.225000Z;ON
2020-12-10T13:46:45.807000Z;OFF
2020-12-10T13:47:01.679000Z;ON
2020-12-10T13:47:53.071000Z;OFF
2020-12-10T13:48:05.713000Z;ON
2020-12-10T13:48:11.702000Z;OFF
2020-12-10T13:48:19.701000Z;ON
2020-12-10T13:51:12.033000Z;OFF
2020-12-10T13:52:06.204000Z;ON
2020-12-10T13:52:25.147000Z;OFF
2020-12-10T13:52:48.576000Z;ON
2020-12-10T13:54:31.442000Z;OFF
2020-12-10T13:54:35.247000Z;ON
2020-12-10T14:00:00.090000Z;ON
2020-12-10T14:01:07.723000Z;OFF
2020-12-10T14:01:09.736000Z;ON
2020-12-10T14:01:23.587000Z;OFF
2020-12-10T14:01:31.205000Z;ON
2020-12-10T14:03:28.944000Z;OFF
2020-12-10T14:03:32.480000Z;ON
2020-12-10T14:11:14.049000Z;OFF
2020-12-10T14:11:25.608000Z;ON
2020-12-10T15:00:00.095000Z;ON
2020-12-10T15:40:48.055000Z;OFF
2020-12-10T16:00:00.110000Z;OFF
2020-12-10T17:00:00.116000Z;OFF
2020-12-10T18:00:00.121000Z;OFF
2020-12-10T18:13:21.813000Z;ON
2020-12-10T18:40:48.526000Z;OFF
2020-12-10T18:40:50.725000Z;ON
2020-12-10T19:00:00.125000Z;ON
2020-12-10T20:00:00.129000Z;ON
2020-12-10T21:00:00.134000Z;ON
2020-12-10T21:05:05.173000Z;OFF
2020-12-10T21:52:02.227000Z;ON
2020-12-10T21:53:49.634000Z;OFF
2020-12-10T21:53:59.319000Z;ON
2020-12-10T21:55:36.126000Z;OFF
2020-12-10T22:00:00.139000Z;OFF
2020-12-10T22:08:31.767000Z;ON
2020-12-10T22:09:36.302000Z;OFF
2020-12-10T22:17:04.089000Z;ON
2020-12-10T22:17:07.202000Z;OFF
2020-12-10T22:19:02.058000Z;ON
2020-12-10T22:19:03.956000Z;OFF
2020-12-10T22:22:10.252000Z;ON
2020-12-10T22:22:11.846000Z;OFF
2020-12-10T22:37:23.583000Z;ON
2020-12-10T22:37:24.558000Z;OFF
