time;value
2020-12-10T10:52:46.014000Z;21.0
2020-12-10T11:00:00.546000Z;21.0
2020-12-10T12:00:00.554000Z;21.0
2020-12-10T12:03:35.883000Z;4.0
2020-12-10T12:09:14.812000Z;21.0
2020-12-10T12:22:27.638000Z;4.0
2020-12-10T12:31:55.288000Z;21.0
2020-12-10T13:00:01.810000Z;21.0
2020-12-10T13:21:11.495000Z;24.0
2020-12-10T13:43:40.811000Z;23.0
2020-12-10T13:44:23.324000Z;24.0
2020-12-10T13:46:33.130000Z;23.0
2020-12-10T13:46:38.293000Z;24.0
2020-12-10T13:48:25.182000Z;21.0
2020-12-10T13:51:33.585000Z;23.0
2020-12-10T13:52:06.297000Z;21.0
2020-12-10T13:56:33.926000Z;23.0
2020-12-10T14:00:00.091000Z;23.0
2020-12-10T14:01:09.792000Z;21.0
2020-12-10T14:01:34.163000Z;23.0
2020-12-10T14:01:39.278000Z;20.0
2020-12-10T14:01:50.610000Z;21.0
2020-12-10T14:02:35.721000Z;20.0
2020-12-10T14:02:42.630000Z;21.0
2020-12-10T14:03:32.540000Z;22.0
2020-12-10T14:04:24.093000Z;23.0
2020-12-10T14:04:49.062000Z;21.0
2020-12-10T14:04:53.061000Z;22.0
2020-12-10T14:06:34.412000Z;23.0
2020-12-10T14:06:36.404000Z;22.0
2020-12-10T14:06:42.622000Z;23.0
2020-12-10T14:06:44.346000Z;22.0
2020-12-10T14:20:58.064000Z;20.0
2020-12-10T14:21:04.107000Z;21.0
2020-12-10T14:21:35.941000Z;20.0
2020-12-10T14:21:38.839000Z;21.0
2020-12-10T14:26:29.332000Z;20.0
2020-12-10T14:26:31.480000Z;21.0
2020-12-10T14:26:35.704000Z;22.0
2020-12-10T15:00:00.096000Z;22.0
2020-12-10T15:40:48.416000Z;4.0
2020-12-10T16:00:00.111000Z;4.0
2020-12-10T17:00:00.117000Z;4.0
2020-12-10T18:00:00.122000Z;4.0
2020-12-10T18:13:21.865000Z;16.0
2020-12-10T18:14:42.565000Z;4.0
2020-12-10T18:15:18.944000Z;22.0
2020-12-10T18:19:42.815000Z;4.0
