time;value
2020-12-10T15:00:16.385000Z;15.0
2020-12-10T15:00:34.773000Z;16.0
2020-12-10T15:04:04.365000Z;17.0
2020-12-10T15:09:34.648000Z;4.0
2020-12-10T15:09:38.538000Z;17.0
2020-12-10T15:12:54.969000Z;4.0
2020-12-10T15:12:57.133000Z;17.0
2020-12-10T15:14:44.873000Z;4.0
2020-12-10T15:15:14.998000Z;17.0
2020-12-10T15:15:52.569000Z;4.0
2020-12-10T15:16:01.822000Z;17.0
2020-12-10T15:16:23.257000Z;4.0
2020-12-10T15:16:27.668000Z;17.0
2020-12-10T15:17:12.060000Z;4.0
2020-12-10T15:20:58.037000Z;17.0
2020-12-10T15:25:45.564000Z;4.0
2020-12-10T15:34:17.124000Z;17.0
2020-12-10T15:34:49.210000Z;4.0
2020-12-10T15:34:54.098000Z;17.0
2020-12-10T15:35:01.227000Z;4.0
2020-12-10T15:35:05.363000Z;17.0
2020-12-10T15:39:55.879000Z;4.0
2020-12-10T15:40:04.795000Z;17.0
2020-12-10T15:40:16.625000Z;22.0
2020-12-10T16:00:00.109000Z;22.0
2020-12-10T17:00:00.114000Z;22.0
2020-12-10T18:00:00.120000Z;22.0
2020-12-10T19:00:00.124000Z;22.0
2020-12-10T20:00:00.128000Z;22.0
2020-12-10T21:00:00.133000Z;22.0
2020-12-10T21:05:04.728000Z;4.0
2020-12-10T21:51:57.253000Z;22.0
2020-12-10T21:55:31.696000Z;4.0
2020-12-10T22:00:00.138000Z;4.0
2020-12-10T22:00:37.822000Z;23.0
2020-12-10T22:04:49.496000Z;5.0
2020-12-10T22:04:59.134000Z;23.0
2020-12-10T22:05:16.337000Z;18.0
2020-12-10T22:07:22.144000Z;23.0
2020-12-10T22:08:52.561000Z;19.0
2020-12-10T22:10:11.924000Z;20.0
2020-12-10T22:10:13.306000Z;21.0
2020-12-10T22:10:44.410000Z;19.0
2020-12-10T22:12:22.376000Z;23.0
2020-12-10T22:16:17.145000Z;19.0
2020-12-10T22:17:22.645000Z;23.0
2020-12-10T22:21:25.144000Z;19.0
2020-12-10T22:22:22.837000Z;23.0
2020-12-10T22:22:49.367000Z;19.0
2020-12-10T22:27:23.081000Z;23.0
2020-12-10T22:37:20.660000Z;19.0
2020-12-10T22:37:23.634000Z;23.0
2020-12-10T22:48:42.214000Z;19.0
2020-12-10T22:49:11.997000Z;23.0
2020-12-10T23:00:00.202000Z;23.0
2020-12-10T23:10:27.332000Z;23.0
2020-12-10T23:10:27.336000Z;23.0
2020-12-10T23:10:30.813000Z;19.0
2020-12-10T23:10:30.890000Z;23.0
2020-12-10T23:10:36.987000Z;19.0
2020-12-10T23:10:37.003000Z;23.0
2020-12-10T23:22:12.826000Z;19.0
2020-12-10T23:22:40.584000Z;23.0
2020-12-10T23:26:09.545000Z;19.0
2020-12-10T23:32:05.198000Z;23.0
2020-12-10T23:32:46.048000Z;19.0
2020-12-10T23:32:46.588000Z;23.0
2020-12-10T23:32:52.102000Z;23.5
2020-12-10T23:33:46.185000Z;23.0
2020-12-10T23:33:46.564000Z;19.0
2020-12-10T23:33:46.893000Z;23.0
2020-12-10T23:34:10.844000Z;23.5
2020-12-10T23:34:46.450000Z;23.0
2020-12-10T23:34:46.840000Z;19.0
2020-12-10T23:34:47.133000Z;23.0
2020-12-10T23:35:11.103000Z;23.5
2020-12-10T23:35:46.692000Z;23.0
2020-12-10T23:35:47.045000Z;19.0
2020-12-10T23:35:47.363000Z;23.0
2020-12-10T23:36:11.346000Z;23.5
2020-12-10T23:36:46.900000Z;23.0
2020-12-10T23:36:47.259000Z;19.0
2020-12-10T23:36:47.650000Z;23.0
2020-12-10T23:37:11.628000Z;23.5
2020-12-10T23:37:49.220000Z;23.0
2020-12-10T23:37:49.356000Z;19.0
2020-12-10T23:37:49.717000Z;23.0
2020-12-10T23:38:11.911000Z;23.5
2020-12-10T23:38:49.487000Z;23.0
2020-12-10T23:38:49.689000Z;19.0
2020-12-10T23:38:50.079000Z;23.0
2020-12-10T23:39:12.175000Z;23.5
