time;value
1607546030476000000;1
1607546033100000000;0
1607546034409000000;1
1607546061121000000;0
1607546062317000000;1
1607546077847000000;0
1607546079328000000;1
1607546080657000000;0
1607546081780000000;1
1607546082514000000;0
1607546083132000000;1
1607546083807000000;0
1607546084785000000;1
1607546168641000000;0
1607546170986000000;1
1607546173948000000;0
1607546175339000000;1
1607546200081000000;0
1607546202857000000;1
1607546238138000000;0
1607546240609000000;1
1607546243829000000;0
1607546609005000000;1
1607546702040000000;0
1607546703340000000;1
1607546731397000000;0
1607546732714000000;1
1607547601369000000;1
1607548791695000000;0
1607548799122000000;1
1607548802746000000;0
1607548804280000000;1
1607551200373000000;1
1607554800376000000;1
1607558400378000000;1
1607562001196000000;1
1607565600200000000;1
1607569200203000000;1
1607572800205000000;1
1607576400700000000;1
1607580001060000000;1
1607583600062000000;1
1607587200067000000;1
1607590800070000000;1
1607592054877000000;0
1607592059227000000;1
1607593148448000000;0
1607593150413000000;1
1607593152677000000;0
1607593242680000000;1
1607593245554000000;0
1607593247012000000;1
1607593249523000000;0
1607593250773000000;1
1607593375503000000;0
1607593379931000000;1
1607593782396000000;0
1607593791923000000;1
1607593793780000000;0
1607593867140000000;1
1607593869821000000;0
1607593873805000000;1
1607593875184000000;0
1607594400544000000;0
1607595259608000000;1
1607595283939000000;0
1607595383517000000;1
1607596141518000000;0
1607596151839000000;1
1607596623881000000;0
1607597565933000000;1
1607597584126000000;0
1607597603975000000;1
1607597607990000000;0
1607597609703000000;1
1607597611635000000;0
1607597721205000000;1
1607597765252000000;0
1607597788119000000;1
1607597800790000000;0
1607597814789000000;1
1607598000546000000;1
1607598119819000000;0
1607598208642000000;1
1607598290975000000;0
1607598333499000000;1
1607598335710000000;0
1607600279595000000;1
1607600285246000000;0
1607600286039000000;1
1607600295168000000;0
1607600298970000000;1
1607600341775000000;0
1607600365575000000;1
1607600374640000000;0
1607600527153000000;1
1607600532962000000;0
1607600545603000000;1
1607600549284000000;0
1607600885934000000;1
1607600894234000000;0
1607601600553000000;0
1607601647777000000;1
1607601685847000000;0
1607602154757000000;1
1607602349408000000;0
1607602350911000000;1
1607602523844000000;0
1607602525206000000;1
1607602632995000000;0
1607602929738000000;1
1607602947440000000;0
1607603515229000000;1
1607603535643000000;0
1607603544686000000;1
1607603595674000000;0
1607603606307000000;1
1607604367219000000;0
1607604376372000000;1
1607604980251000000;0
1607604983475000000;1
1607605201809000000;1
1607605827759000000;0
1607605829714000000;1
1607605854089000000;0
1607605946917000000;1
1607605958332000000;0
1607605960448000000;1
1607605992502000000;0
1607605999581000000;1
1607606109045000000;0
1607606113501000000;1
1607607091403000000;1
1607607100089000000;0
1607607144331000000;1
1607607147677000000;0
