time;value
1607814000358000000;1
1607814109341000000;0
1607814391077000000;1
1607814393237000000;0
1607817602761000000;0
1607821201722000000;0
1607824801814000000;0
1607828412953000000;0
1607832001220000000;0
1607835600226000000;0
1607839200230000000;0
1607842800234000000;0
1607846400238000000;0
1607848635837000000;1
1607850000243000000;1
1607853600247000000;1
1607857200251000000;1
1607860800256000000;1
1607864401785000000;1
1607868009898000000;1
1607871602124000000;1
1607872689615000000;0
1607872692526000000;1
1607872699463000000;0
1607872703556000000;1
1607875205100000000;1
1607878800109000000;1
1607882401273000000;1
1607886000280000000;1
1607889600284000000;1
1607893200287000000;1
1607896800291000000;1
1607898211095000000;0
1607900403372000000;0
1607904001089000000;0
1607907600098000000;0
1607911200105000000;0
1607914800109000000;0
1607918400113000000;0
1607922002108000000;0
1607924701446000000;1
1607925600114000000;1
1607929200119000000;1
1607932800127000000;1
1607936400132000000;1
1607938465380000000;0
1607938477995000000;1
1607940000139000000;1
1607942934119000000;0
1607942935162000000;1
1607942936476000000;0
1607942937435000000;1
1607942943459000000;0
1607943600143000000;0
1607943666115000000;1
1607947200148000000;1
1607950800154000000;1
1607952394464000000;0
1607952401131000000;1
1607954400158000000;1
1607958000161000000;1
1607959585984000000;0
1607961600166000000;0
1607962702237000000;1
1607965200170000000;1
1607968800174000000;1
1607972400178000000;1
1607976000182000000;1
1607977804027000000;0
1607979600186000000;0
1607980697182000000;1
1607980707714000000;0
1607980718466000000;1
1607980720560000000;0
1607980757199000000;1
1607980759629000000;0
1607981557802000000;1
1607981568813000000;0
1607981692787000000;1
1607982694223000000;0
1607982758870000000;1
1607982855673000000;0
1607982915277000000;1
1607982922492000000;0
1607983139616000000;1
1607983149361000000;0
1607983188087000000;1
1607983200190000000;1
1607984209810000000;0
1607986682809000000;1
1607986769897000000;0
1607986774029000000;1
1607986781680000000;0
1607986783625000000;1
1607986800194000000;1
1607986847676000000;0
1607986849276000000;1
1607987056111000000;0
1607987062872000000;1
1607987068155000000;0
1607987134444000000;1
1607987185484000000;0
1607987187810000000;1
1607987194699000000;0
1607987986847000000;1
1607987991137000000;0
1607988008776000000;1
1607988014039000000;0
1607988572649000000;1
1607988667440000000;0
1607988672613000000;1
1607988786159000000;0
1607988874482000000;1
1607989091705000000;0
1607989095498000000;1
1607989399762000000;0
1607989645040000000;1
1607989682116000000;0
1607990400198000000;0
1607994000202000000;0
1607997600206000000;0
1608001200211000000;0
1608004800910000000;0
1608008406106000000;0
1608011100999000000;1
1608012000113000000;1
1608015600118000000;1
1608016815111000000;0
1608019200122000000;0
1608031569983000000;1
1608033016668000000;0
1608033602436000000;0
1608037200444000000;0
1608040800448000000;0
1608044400452000000;0
1608046445962000000;1
1608048001055000000;1
1608051600060000000;1
1608055200065000000;1
1608058800071000000;1
1608062400079000000;1
1608066000085000000;1
1608069600093000000;1
1608069930223000000;0
1608073201624000000;0
1608076800633000000;0
1608080401069000000;0
1608084000078000000;0
1608087600087000000;0
1608091200094000000;0
1608093901192000000;1
1608094800104000000;1
1608098400115000000;1
1608101534324000000;0
1608102000122000000;0
1608105600127000000;0
1608109200131000000;0
1608111719539000000;1
1608112800135000000;1
1608116400141000000;1
